system:index,tropospheric_HCHO_column_number_density,.geo
149,2.2424416895379666E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,10.914530702052186]}"
150,2.255703278699587E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,10.914530702052186]}"
151,2.1344246269638662E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,10.914530702052186]}"
152,1.905978441499889E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,10.914530702052186]}"
153,1.9685456548349867E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,10.914530702052186]}"
154,1.8739428002770506E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,10.914530702052186]}"
155,1.7364369690513122E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,10.914530702052186]}"
156,1.9447743820621012E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,10.914530702052186]}"
157,1.8806162815623504E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,10.914530702052186]}"
158,1.4026303411780343E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81531299401948,10.914530702052186]}"
159,2.0716088641088126E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.004362230464139]}"
160,1.946253865072701E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.004362230464139]}"
161,2.1059478804163196E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.004362230464139]}"
162,2.015720399097687E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.004362230464139]}"
163,1.8388779528367652E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.004362230464139]}"
164,2.506030680188599E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.09419375887609]}"
165,1.767165711564686E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.09419375887609]}"
166,2.1267045411213945E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.09419375887609]}"
167,2.1233438823303023E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.09419375887609]}"
168,1.9300835532178092E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.09419375887609]}"
169,1.766967340021517E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18649229513582,11.09419375887609]}"
170,1.606870967358193E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,11.09419375887609]}"
171,1.1942779571598854E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.184025287288042]}"
172,1.1367449715094936E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.184025287288042]}"
173,1.6520850815675446E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.184025287288042]}"
174,2.0432860328696616E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.184025287288042]}"
175,2.1378060297439383E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.184025287288042]}"
176,1.8038202666044136E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.184025287288042]}"
177,1.8197232003134048E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.184025287288042]}"
178,1.8729035184988783E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.184025287288042]}"
179,1.7457995542724956E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.184025287288042]}"
180,1.825717930330248E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09666076672387,11.184025287288042]}"
181,1.6924785868294682E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,11.184025287288042]}"
182,1.5455659219243797E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81531299401948,11.184025287288042]}"
183,1.4976624232374092E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.273856815699995]}"
184,1.6111156714339363E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.273856815699995]}"
185,1.848173311843107E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.273856815699995]}"
186,2.040838936909044E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.273856815699995]}"
187,1.8204940970069776E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.363688344111946]}"
188,1.3205553914795245E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.363688344111946]}"
189,1.03957563717214E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.363688344111946]}"
190,2.3061301337867277E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.363688344111946]}"
191,1.8407771066182403E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,11.363688344111946]}"
192,1.9053925407835564E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27632382354777,11.363688344111946]}"
193,1.8170822901237508E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45598688037167,11.363688344111946]}"
194,1.7244649389337448E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.63564993719558,11.363688344111946]}"
195,1.0835559292051033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.66122155692864,11.363688344111946]}"
196,2.471459641072382E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.453519872523898]}"
197,1.9647798465710924E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.453519872523898]}"
198,1.1181138433789187E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.453519872523898]}"
